state,x,y
Andhra Pradesh,-71,-150
Arunachal Pradesh,250,136
Assam,215,84
Bihar,53,78
Delhi,-114,138
Goa,-176,-154
Gujarat,-229,13
Haryana,-126,152
Himachal Pradesh,-107,214
Jharkhand,55,25
Karnataka,-137,-176
Kerala,-128,-253
Madhya Pradesh,-91,12
Maharashtra,-140,-74
Manipur,228,52
Meghalaya,180,72
Mizoram,204,16
Nagaland,239,81
Odisha,41,-35
Punjab,-146,188
Rajasthan,-165,116
Sikkim,117,114
Tamil Nadu,-83,-224
Telangana,-63,-99
Tripura,180,28
Uttar Pradesh,-49,107
Uttarakhand,-66,176
West Bengal,107,18
